transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,status
0,0,2024-01-04,4534.74,GBP,TRANSFER,ATM,POSTED
1,0,2024-01-18,4334.39,EUR,DEBIT,BRANCH,PENDING
2,0,2024-02-28,1634.9,USD,CREDIT,MOBILE,PENDING
3,240,2024-01-03,3745.37,EUR,CREDIT,ONLINE,REVERSED
4,0,2024-03-24,202.25,EUR,DEBIT,ONLINE,POSTED
5,0,2024-01-31,631.98,GBP,DEBIT,ONLINE,PENDING
6,0,2024-02-17,839.78,GBP,TRANSFER,ATM,POSTED
7,55,2024-03-15,129.37,USD,TRANSFER,MOBILE,PENDING
8,101,2024-01-10,2960.9,GBP,DEBIT,ATM,REVERSED
9,435,2024-03-28,3002.46,EUR,TRANSFER,ATM,PENDING
10,0,2024-03-25,1853.48,GBP,TRANSFER,BRANCH,POSTED
11,421,2024-03-03,528.59,USD,TRANSFER,MOBILE,REVERSED
12,0,2024-01-23,3669.24,GBP,CREDIT,MOBILE,PENDING
13,0,2024-03-16,1342.71,EUR,DEBIT,BRANCH,PENDING
14,0,2024-02-29,2849.68,GBP,CREDIT,BRANCH,POSTED
15,0,2024-02-11,910.02,EUR,CREDIT,BRANCH,PENDING
16,0,2024-03-17,3506.22,USD,TRANSFER,ATM,REVERSED
17,43,2024-01-31,3600.65,USD,TRANSFER,ONLINE,REVERSED
18,0,2024-03-03,2241.42,EUR,DEBIT,BRANCH,POSTED
19,0,2024-02-01,1531.72,GBP,CREDIT,MOBILE,REVERSED
20,0,2024-02-24,4983.16,GBP,CREDIT,BRANCH,REVERSED
21,0,2024-02-09,1257.77,EUR,TRANSFER,ONLINE,PENDING
22,0,2024-03-09,4754.44,GBP,DEBIT,ONLINE,POSTED
23,,2024-02-05,3623.2,GBP,TRANSFER,BRANCH,POSTED
24,151,2024-01-30,1805.04,USD,DEBIT,ONLINE,PENDING
25,0,2024-01-07,2767.24,GBP,DEBIT,MOBILE,POSTED
26,293,2024-02-06,2347.52,USD,CREDIT,ONLINE,POSTED
27,0,2024-03-02,571.32,EUR,CREDIT,MOBILE,POSTED
28,0,2024-03-28,268.99,EUR,TRANSFER,BRANCH,POSTED
29,60,2024-03-12,3822.45,GBP,TRANSFER,ONLINE,REVERSED
30,0,2024-02-26,1487.47,GBP,CREDIT,BRANCH,REVERSED
31,0,2024-03-19,4800.58,EUR,DEBIT,ONLINE,PENDING
32,0,2024-01-21,1200.09,GBP,DEBIT,ONLINE,POSTED
33,0,2024-03-29,2969.46,USD,DEBIT,ONLINE,PENDING
34,,2024-03-30,4298.17,EUR,TRANSFER,ONLINE,PENDING
35,320,2024-03-16,3306.25,EUR,CREDIT,ATM,REVERSED
36,0,2024-01-20,4542.15,EUR,DEBIT,ATM,POSTED
37,304,2024-03-13,4606.04,USD,DEBIT,MOBILE,REVERSED
38,0,2024-02-21,4713.44,GBP,TRANSFER,MOBILE,PENDING
39,0,2024-01-06,4447.23,GBP,CREDIT,BRANCH,POSTED
40,0,2024-03-27,4179.96,GBP,TRANSFER,ATM,REVERSED
41,295,2024-01-06,3815.78,EUR,CREDIT,MOBILE,PENDING
42,0,2024-03-15,2179.99,USD,DEBIT,MOBILE,PENDING
43,0,2024-02-11,3351.0,EUR,CREDIT,MOBILE,REVERSED
44,0,2024-03-25,4726.02,GBP,DEBIT,MOBILE,POSTED
45,0,2024-02-11,580.49,USD,TRANSFER,ATM,REVERSED
46,236,2024-02-22,271.97,GBP,CREDIT,MOBILE,REVERSED
47,0,2024-01-07,1018.59,GBP,DEBIT,BRANCH,PENDING
48,248,2024-01-16,145.32,GBP,TRANSFER,ONLINE,REVERSED
49,0,2024-03-11,69.36,USD,DEBIT,ONLINE,POSTED
50,0,2024-01-16,3238.9,EUR,CREDIT,BRANCH,REVERSED
51,,2024-02-23,4173.79,USD,DEBIT,MOBILE,REVERSED
52,0,2024-01-25,4609.42,GBP,TRANSFER,ONLINE,POSTED
53,0,2024-02-23,1700.04,GBP,CREDIT,ATM,PENDING
54,,2024-03-16,2900.04,GBP,CREDIT,ONLINE,PENDING
55,0,2024-02-14,1662.87,GBP,CREDIT,MOBILE,PENDING
56,357,2024-01-31,2859.42,EUR,CREDIT,ATM,PENDING
57,,2024-02-18,1931.01,GBP,TRANSFER,ONLINE,PENDING
58,64,2024-03-05,4826.8,USD,DEBIT,MOBILE,POSTED
59,0,2024-02-28,77.72,EUR,CREDIT,ONLINE,POSTED
60,0,2024-02-03,1693.47,GBP,CREDIT,ATM,PENDING
61,439,2024-03-09,1900.67,USD,TRANSFER,MOBILE,REVERSED
62,0,2024-01-09,1174.62,GBP,CREDIT,ONLINE,REVERSED
63,0,2024-01-13,3802.09,GBP,DEBIT,MOBILE,POSTED
64,0,2024-01-04,230.91,EUR,CREDIT,BRANCH,PENDING
65,0,2024-02-01,2656.3,GBP,TRANSFER,ONLINE,POSTED
66,0,2024-03-19,4354.33,GBP,TRANSFER,ONLINE,PENDING
67,73,2024-01-30,2306.29,USD,CREDIT,BRANCH,REVERSED
68,0,2024-02-29,4506.15,GBP,TRANSFER,ONLINE,POSTED
69,0,2024-02-14,4938.27,USD,TRANSFER,MOBILE,REVERSED
70,0,2024-02-08,996.89,USD,CREDIT,ATM,POSTED
71,0,2024-02-15,2874.48,GBP,CREDIT,ATM,REVERSED
72,0,2024-01-02,2830.08,GBP,TRANSFER,ATM,REVERSED
73,,2024-02-06,3878.93,EUR,TRANSFER,BRANCH,POSTED
74,0,2024-03-20,1253.88,GBP,TRANSFER,ONLINE,REVERSED
75,0,2024-03-21,3232.06,USD,CREDIT,ATM,REVERSED
76,0,2024-01-17,451.58,USD,CREDIT,MOBILE,POSTED
77,0,2024-03-10,4382.43,USD,TRANSFER,BRANCH,POSTED
78,0,2024-03-02,4836.95,USD,TRANSFER,BRANCH,POSTED
79,0,2024-01-10,704.64,EUR,TRANSFER,MOBILE,REVERSED
80,0,2024-02-20,70.58,GBP,DEBIT,MOBILE,PENDING
81,0,2024-03-27,1311.54,USD,TRANSFER,BRANCH,POSTED
82,0,2024-03-01,126.1,GBP,CREDIT,ONLINE,REVERSED
83,0,2024-02-29,4547.03,USD,TRANSFER,MOBILE,POSTED
84,0,2024-01-05,1522.52,USD,DEBIT,ATM,POSTED
85,69,2024-02-19,2268.77,GBP,TRANSFER,MOBILE,REVERSED
86,,2024-01-20,4427.18,GBP,DEBIT,MOBILE,REVERSED
87,0,2024-02-05,164.55,USD,DEBIT,MOBILE,PENDING
88,437,2024-02-16,497.67,GBP,CREDIT,BRANCH,POSTED
89,0,2024-01-25,4841.07,USD,DEBIT,ONLINE,REVERSED
90,0,2024-01-03,253.84,USD,DEBIT,ONLINE,REVERSED
91,0,2024-03-11,1036.58,EUR,DEBIT,BRANCH,POSTED
92,305,2024-01-01,1387.1,EUR,DEBIT,BRANCH,POSTED
93,0,2024-01-04,659.88,USD,DEBIT,BRANCH,POSTED
94,0,2024-01-07,634.67,USD,TRANSFER,ATM,REVERSED
95,0,2024-02-27,3890.31,GBP,TRANSFER,ATM,PENDING
96,0,2024-03-19,217.78,GBP,TRANSFER,BRANCH,PENDING
97,0,2024-01-04,305.07,USD,CREDIT,MOBILE,REVERSED
98,0,2024-02-26,368.38,EUR,CREDIT,ONLINE,POSTED
99,0,2024-03-20,3165.75,GBP,TRANSFER,BRANCH,PENDING
100,271,2024-02-07,2269.12,GBP,CREDIT,ATM,REVERSED
101,0,2024-03-24,3254.93,GBP,TRANSFER,ONLINE,PENDING
102,0,2024-01-30,2069.65,USD,CREDIT,MOBILE,REVERSED
103,0,2024-02-24,1563.31,USD,CREDIT,ONLINE,REVERSED
104,34,2024-01-12,4159.03,EUR,CREDIT,ATM,REVERSED
105,,2024-01-17,2782.3,GBP,TRANSFER,BRANCH,REVERSED
106,0,2024-02-15,4368.16,USD,TRANSFER,ATM,PENDING
107,0,2024-02-15,518.9,GBP,DEBIT,ONLINE,REVERSED
108,0,2024-01-14,1751.22,GBP,CREDIT,ATM,PENDING
109,0,2024-02-24,4225.93,GBP,TRANSFER,ATM,REVERSED
110,424,2024-03-29,1337.97,EUR,CREDIT,BRANCH,PENDING
111,0,2024-01-24,4349.44,GBP,TRANSFER,MOBILE,POSTED
112,0,2024-03-22,4859.08,EUR,TRANSFER,ONLINE,PENDING
113,0,2024-02-13,787.89,USD,TRANSFER,BRANCH,REVERSED
114,0,2024-01-07,778.74,GBP,DEBIT,ATM,PENDING
115,0,2024-02-24,2428.82,USD,CREDIT,BRANCH,POSTED
116,58,2024-02-14,2150.14,USD,TRANSFER,MOBILE,REVERSED
117,0,2024-01-06,1103.37,GBP,DEBIT,ATM,POSTED
118,0,2024-01-28,3836.98,USD,CREDIT,BRANCH,POSTED
119,0,2024-02-25,879.3,USD,TRANSFER,ONLINE,REVERSED
120,0,2024-03-26,4031.19,EUR,CREDIT,ATM,PENDING
121,0,2024-01-10,4310.69,GBP,CREDIT,MOBILE,REVERSED
122,0,2024-02-07,576.75,EUR,CREDIT,ONLINE,REVERSED
123,0,2024-03-29,4598.93,EUR,CREDIT,ATM,POSTED
124,0,2024-02-21,2620.29,USD,CREDIT,BRANCH,POSTED
125,0,2024-01-22,382.82,GBP,DEBIT,ONLINE,PENDING
126,0,2024-03-23,4075.37,EUR,DEBIT,ONLINE,PENDING
127,0,2024-03-18,765.2,GBP,DEBIT,ONLINE,REVERSED
128,0,2024-03-13,3799.63,USD,TRANSFER,BRANCH,REVERSED
129,0,2024-02-26,342.36,USD,TRANSFER,BRANCH,PENDING
130,0,2024-02-15,2537.18,USD,CREDIT,MOBILE,POSTED
131,0,2024-02-06,384.58,EUR,TRANSFER,MOBILE,PENDING
132,0,2024-01-06,2249.22,GBP,TRANSFER,ONLINE,PENDING
133,0,2024-03-05,755.15,EUR,CREDIT,ATM,PENDING
134,43,2024-03-05,3230.99,EUR,DEBIT,MOBILE,PENDING
135,0,2024-03-19,794.57,USD,CREDIT,MOBILE,PENDING
