transaction_id,transaction_date,country,customer_id,amount,currency,channel,status
0,2024-03-22,DE,25,3708.01,EUR,ONLINE,POSTED
1,2024-01-14,BE,89,2952.87,EUR,ATM,POSTED
2,2024-01-28,IT,517,3010.49,GBP,ONLINE,REVERSED
3,2024-03-24,BE,429,1102.98,GBP,BRANCH,POSTED
4,2024-01-21,MA,348,1390.08,EUR,BRANCH,POSTED
5,2024-01-12,MA,99,1795.54,USD,BRANCH,POSTED
6,2024-02-28,BE,127,4865.61,USD,ATM,REVERSED
7,2024-02-07,PT,906,4308.67,GBP,ONLINE,REVERSED
8,2024-01-09,FR,677,1140.26,USD,ATM,POSTED
9,2024-01-13,MA,284,2267.6,USD,ONLINE,PENDING
10,2024-02-15,IT,686,1335.62,GBP,ATM,REVERSED
11,2024-03-22,ES,546,3645.9,EUR,MOBILE,PENDING
12,2024-02-04,BE,224,3423.39,EUR,ONLINE,POSTED
13,2024-02-10,MA,274,331.88,GBP,BRANCH,POSTED
14,2024-03-24,NL,405,4423.53,GBP,MOBILE,POSTED
15,2024-02-03,ES,252,3725.2,GBP,BRANCH,REVERSED
16,2024-03-15,MA,919,2918.08,USD,ONLINE,POSTED
17,2024-03-06,NL,93,3779.16,EUR,ONLINE,REVERSED
18,2024-01-21,MA,610,318.58,USD,MOBILE,REVERSED
19,2024-02-02,BE,881,4712.21,GBP,ATM,REVERSED
20,2024-03-09,US,787,3205.17,EUR,BRANCH,PENDING
21,2024-01-21,NL,3,4769.13,GBP,BRANCH,REVERSED
22,2024-01-23,BE,934,532.95,GBP,BRANCH,REVERSED
23,2024-03-05,PT,203,765.04,EUR,ATM,REVERSED
24,2024-02-11,NL,19,560.23,USD,BRANCH,POSTED
25,2024-01-08,IT,899,2837.22,EUR,ATM,REVERSED
26,2024-03-03,DE,778,2664.0,EUR,ONLINE,REVERSED
27,2024-03-01,BE,169,1326.02,GBP,MOBILE,POSTED
28,2024-03-10,IT,730,1559.27,GBP,BRANCH,PENDING
29,2024-03-07,NL,123,1240.28,EUR,BRANCH,POSTED
30,2024-03-16,BE,235,2942.61,EUR,ATM,REVERSED
31,2024-03-21,FR,234,337.93,EUR,BRANCH,POSTED
32,2024-03-06,IT,285,3345.22,EUR,ONLINE,REVERSED
33,2024-03-14,PT,484,1215.74,USD,MOBILE,POSTED
34,2024-01-13,DE,674,2155.82,USD,MOBILE,PENDING
35,2024-01-07,DE,62,2013.7,USD,ATM,POSTED
36,2024-01-25,IT,549,2243.62,USD,ONLINE,PENDING
37,2024-02-29,IT,895,4616.4,USD,ATM,POSTED
38,2024-03-24,BE,856,74.77,EUR,ONLINE,POSTED
39,2024-02-22,NL,492,1069.52,USD,ATM,POSTED
40,2024-02-18,FR,399,1326.75,USD,BRANCH,PENDING
41,2024-03-30,BE,677,3592.32,EUR,ONLINE,PENDING
42,2024-01-28,FR,593,3678.95,EUR,BRANCH,POSTED
43,2024-01-07,PT,488,2514.75,GBP,ONLINE,POSTED
44,2024-03-06,DE,871,929.94,GBP,ATM,REVERSED
45,2024-01-31,MA,122,4708.04,GBP,ONLINE,REVERSED
46,2024-03-17,FR,634,410.84,GBP,BRANCH,PENDING
47,2024-01-27,UK,244,1328.81,EUR,BRANCH,PENDING
48,2024-02-10,DE,9,2291.97,GBP,ATM,POSTED
49,2024-03-09,IT,518,1326.74,USD,ATM,POSTED
50,2024-02-17,US,161,2191.48,GBP,BRANCH,REVERSED
51,2024-03-24,BE,8,3339.65,GBP,BRANCH,REVERSED
52,2024-01-14,ES,270,578.03,EUR,ONLINE,PENDING
53,2024-02-06,PT,215,3588.34,EUR,BRANCH,REVERSED
54,2024-03-03,US,927,4540.89,EUR,ATM,REVERSED
55,2024-02-24,US,45,18.72,EUR,BRANCH,POSTED
56,2024-02-26,BE,722,2139.01,EUR,ATM,POSTED
57,2024-03-29,ES,558,181.1,USD,ONLINE,PENDING
58,2024-01-17,FR,315,1823.89,EUR,BRANCH,POSTED
59,2024-03-28,IT,682,514.87,GBP,MOBILE,REVERSED
60,2024-01-20,IT,885,813.35,EUR,MOBILE,POSTED
61,2024-01-23,UK,801,4654.15,GBP,ONLINE,PENDING
62,2024-01-21,DE,391,4360.96,USD,ONLINE,POSTED
63,2024-02-28,UK,312,4102.86,EUR,ONLINE,POSTED
64,2024-03-25,IT,408,1641.98,EUR,BRANCH,PENDING
65,2024-03-23,BE,409,3397.91,GBP,BRANCH,POSTED
66,2024-01-15,US,182,2903.37,USD,ATM,POSTED
67,2024-03-17,MA,353,3643.0,USD,MOBILE,REVERSED
68,2024-03-06,DE,394,4497.62,EUR,BRANCH,POSTED
69,2024-02-25,FR,532,4627.95,GBP,ONLINE,PENDING
70,2024-02-25,DE,971,3321.52,USD,BRANCH,REVERSED
71,2024-01-16,US,519,1547.11,USD,BRANCH,PENDING
72,2024-03-30,US,567,637.31,USD,MOBILE,REVERSED
73,2024-01-23,PT,582,1505.45,GBP,ATM,PENDING
74,2024-02-06,IT,440,3929.01,GBP,BRANCH,PENDING
75,2024-02-26,NL,691,1069.29,USD,ONLINE,REVERSED
76,2024-01-11,US,527,3319.61,GBP,BRANCH,POSTED
77,2024-01-31,US,230,4033.01,EUR,ATM,POSTED
78,2024-02-01,NL,625,4248.84,EUR,MOBILE,PENDING
