transaction_id,transaction_date,country,customer_id,account_id,amount,currency,transaction_type,channel,status
0,2024-01-21,DE,12,759,1375.87,EUR,DEBIT,ATM,REVERSED
1,2024-01-24,BE,44,604,2110.19,EUR,DEBIT,ONLINE,POSTED
2,2024-01-17,PT,13,574,994.99,GBP,TRANSFER,MOBILE,POSTED
3,2024-01-15,PT,142,6,3794.28,EUR,TRANSFER,MOBILE,PENDING
4,2024-01-09,ES,110,781,1683.64,EUR,CREDIT,ATM,PENDING
5,2024-01-28,UK,309,270,4035.83,GBP,CREDIT,ATM,PENDING
6,2024-01-03,BE,150,643,3092.98,USD,TRANSFER,ONLINE,REVERSED
7,2024-01-03,FR,338,233,3865.57,EUR,DEBIT,ATM,PENDING
8,2024-01-09,NL,325,373,814.11,USD,DEBIT,BRANCH,REVERSED
9,2024-01-30,DE,311,650,856.52,GBP,DEBIT,ONLINE,PENDING
10,2024-01-13,US,473,655,3441.12,EUR,TRANSFER,BRANCH,POSTED
11,2024-01-08,FR,412,323,2006.42,EUR,DEBIT,BRANCH,POSTED
12,2024-01-21,NL,202,658,2294.8,USD,DEBIT,ONLINE,REVERSED
13,2024-01-18,BE,134,764,2923.35,GBP,CREDIT,BRANCH,POSTED
14,2024-01-05,BE,252,93,3779.16,EUR,DEBIT,ONLINE,REVERSED
15,2024-01-14,PT,32,394,1908.71,USD,TRANSFER,BRANCH,REVERSED
16,2024-01-28,FR,348,738,573.64,GBP,CREDIT,BRANCH,POSTED
17,2024-01-10,MA,80,464,17.22,GBP,TRANSFER,BRANCH,REVERSED
18,2024-01-25,ES,259,108,4352.72,USD,TRANSFER,ONLINE,POSTED
19,2024-01-12,ES,276,797,4612.25,EUR,TRANSFER,BRANCH,PENDING
20,2024-01-01,DE,475,371,4393.73,USD,DEBIT,ATM,POSTED
21,2024-01-29,PT,484,80,429.18,USD,DEBIT,ONLINE,POSTED
22,2024-01-22,NL,484,562,826.47,GBP,TRANSFER,MOBILE,POSTED
23,2024-01-30,BE,386,747,3449.65,GBP,CREDIT,MOBILE,REVERSED
24,2024-01-21,UK,224,529,2257.98,EUR,DEBIT,ATM,PENDING
25,2024-01-01,PT,283,235,2942.61,EUR,DEBIT,ATM,POSTED
26,2024-01-03,FR,440,338,355.22,EUR,CREDIT,MOBILE,POSTED
27,2024-01-18,ES,370,584,2881.48,EUR,CREDIT,MOBILE,POSTED
28,2024-01-04,DE,337,441,1772.13,USD,CREDIT,ATM,REVERSED
29,2024-01-21,DE,31,412,3641.34,EUR,DEBIT,ONLINE,POSTED
30,2024-01-18,NL,71,432,918.26,USD,DEBIT,ATM,PENDING
31,2024-01-26,BE,50,51,3261.07,GBP,DEBIT,ATM,POSTED
32,2024-01-06,MA,248,492,1069.52,USD,DEBIT,ONLINE,PENDING
33,2024-01-01,MA,135,465,1426.96,GBP,TRANSFER,MOBILE,POSTED
34,2024-01-07,US,111,59,2896.32,GBP,DEBIT,BRANCH,POSTED
35,2024-01-02,PT,244,514,4597.02,GBP,DEBIT,ATM,REVERSED
36,2024-01-03,ES,35,609,340.74,EUR,CREDIT,ATM,REVERSED
37,2024-01-08,PT,304,40,3097.29,USD,TRANSFER,BRANCH,PENDING
38,2024-01-07,UK,122,271,1979.53,GBP,TRANSFER,BRANCH,PENDING
39,2024-01-11,DE,4,469,3106.18,GBP,DEBIT,ATM,REVERSED
40,2024-01-07,BE,135,135,4666.36,EUR,DEBIT,BRANCH,PENDING
41,2024-01-06,NL,426,556,3518.0,GBP,TRANSFER,ATM,REVERSED
42,2024-01-27,BE,153,679,518.83,EUR,CREDIT,ATM,POSTED
43,2024-01-24,BE,79,278,1409.5,EUR,TRANSFER,BRANCH,POSTED
44,2024-01-22,US,258,500,1256.36,EUR,DEBIT,MOBILE,PENDING
45,2024-01-02,FR,170,789,654.97,USD,DEBIT,MOBILE,REVERSED
46,2024-01-23,MA,287,9,560.26,GBP,DEBIT,ATM,PENDING
47,2024-01-19,BE,75,440,638.1,USD,CREDIT,ATM,PENDING
48,2024-01-07,IT,341,105,1769.04,GBP,CREDIT,ONLINE,POSTED
49,2024-01-28,ES,499,181,4407.2,EUR,DEBIT,BRANCH,PENDING
50,2024-01-26,IT,136,163,3937.09,EUR,CREDIT,ATM,PENDING
51,2024-01-08,IT,418,471,1748.94,EUR,DEBIT,ATM,REVERSED
52,2024-01-07,MA,168,285,4321.9,USD,CREDIT,MOBILE,REVERSED
53,2024-01-27,BE,169,28,577.59,USD,DEBIT,BRANCH,POSTED
54,2024-01-04,PT,222,353,3643.0,USD,CREDIT,ATM,PENDING
55,2024-01-29,PT,97,260,222.89,USD,DEBIT,ONLINE,PENDING
56,2024-01-14,DE,485,680,4603.93,GBP,CREDIT,ATM,REVERSED
57,2024-01-29,US,259,316,3334.8,USD,CREDIT,BRANCH,REVERSED
58,2024-01-05,IT,215,680,4701.88,GBP,TRANSFER,ONLINE,REVERSED
59,2024-01-19,US,207,561,4168.79,USD,CREDIT,ONLINE,PENDING
60,2024-01-26,PT,310,670,1611.92,USD,CREDIT,ONLINE,REVERSED
61,2024-01-16,ES,337,86,1419.65,GBP,TRANSFER,BRANCH,POSTED
62,2024-01-27,IT,344,317,1123.98,EUR,DEBIT,ATM,POSTED
63,2024-01-08,NL,312,786,365.07,USD,TRANSFER,ONLINE,REVERSED
64,2024-01-23,MA,253,409,1220.68,GBP,TRANSFER,ATM,POSTED
65,2024-01-25,MA,112,180,4020.75,GBP,TRANSFER,MOBILE,POSTED
66,2024-01-18,IT,469,124,2282.85,USD,TRANSFER,BRANCH,PENDING
67,2024-01-20,BE,218,561,2230.12,EUR,TRANSFER,MOBILE,PENDING
68,2024-01-09,IT,430,652,1387.28,GBP,CREDIT,ONLINE,PENDING
69,2024-01-15,DE,365,292,1173.23,USD,CREDIT,ATM,POSTED
70,2024-01-05,IT,196,710,764.87,EUR,DEBIT,MOBILE,PENDING
71,2024-01-11,BE,238,425,312.27,USD,CREDIT,ATM,REVERSED
72,2024-01-13,NL,3,360,1493.76,USD,CREDIT,ONLINE,PENDING
73,2024-01-08,US,223,497,146.1,USD,TRANSFER,MOBILE,REVERSED
74,2024-01-06,NL,470,130,4903.63,GBP,DEBIT,MOBILE,REVERSED
75,2024-01-19,FR,42,658,2143.64,USD,DEBIT,ATM,PENDING
76,2024-01-13,UK,108,465,1634.9,USD,CREDIT,MOBILE,PENDING
77,2024-01-27,DE,240,19,3745.37,EUR,CREDIT,ONLINE,REVERSED
78,2024-01-03,FR,386,31,4748.11,EUR,DEBIT,ONLINE,POSTED
79,2024-01-05,NL,342,117,2820.28,EUR,CREDIT,BRANCH,PENDING
80,2024-01-06,PT,310,765,3592.07,EUR,CREDIT,ATM,REVERSED
81,2024-01-01,US,294,693,4540.22,USD,CREDIT,ONLINE,POSTED
82,2024-01-19,IT,52,713,3862.63,GBP,TRANSFER,ATM,REVERSED
83,2024-01-26,FR,177,545,2142.46,USD,DEBIT,BRANCH,POSTED
84,2024-01-28,MA,421,501,528.59,USD,TRANSFER,MOBILE,REVERSED
85,2024-01-05,MA,90,751,2609.21,GBP,CREDIT,MOBILE,PENDING
86,2024-01-14,PT,137,330,4258.71,EUR,CREDIT,MOBILE,POSTED
87,2024-01-25,NL,291,624,3341.27,USD,DEBIT,MOBILE,PENDING
88,2024-01-06,NL,108,363,3989.36,USD,CREDIT,BRANCH,REVERSED
89,2024-01-01,BE,485,195,428.98,GBP,CREDIT,MOBILE,REVERSED
90,2024-01-25,IT,353,487,3229.87,USD,CREDIT,ATM,POSTED
91,2024-01-10,IT,207,708,1217.28,GBP,TRANSFER,BRANCH,PENDING
92,2024-01-18,BE,176,435,4983.16,GBP,CREDIT,BRANCH,REVERSED
93,2024-01-15,US,156,257,1153.46,GBP,DEBIT,BRANCH,POSTED
94,2024-01-24,BE,486,780,3451.13,EUR,DEBIT,MOBILE,PENDING
95,2024-01-24,PT,389,537,2984.36,EUR,DEBIT,BRANCH,POSTED
96,2024-01-12,ES,154,14,3540.38,EUR,CREDIT,ATM,POSTED
97,2024-01-18,US,357,129,3189.71,USD,DEBIT,ATM,REVERSED
98,2024-01-10,NL,245,451,1704.19,EUR,CREDIT,MOBILE,POSTED
99,2024-01-27,DE,205,503,371.34,GBP,TRANSFER,ATM,POSTED
100,2024-01-05,PT,485,311,426.82,EUR,DEBIT,MOBILE,REVERSED
101,2024-01-20,PT,115,794,2613.34,USD,CREDIT,BRANCH,REVERSED
102,2024-01-14,US,291,635,302.09,GBP,DEBIT,ONLINE,REVERSED
