id,client_id,amount,transaction_type,date
1,1007,694,purchase,2023-07-03
2,1011,755,purchase,2023-01-02
3,1006,741,withdrawal,2023-04-30
4,1001,443,purchase,2023-07-09
5,1002,444,withdrawal,2023-10-15
6,1004,802,refund,2023-05-20
7,1014,560,withdrawal,2023-11-05
8,1020,383,purchase,2023-10-23
9,1015,1333,purchase,2023-01-06
10,1002,1479,withdrawal,2023-06-01
11,1009,1164,transfer,2023-05-27
12,1001,210,transfer,2023-03-28
13,1017,1478,payment,2023-10-12
14,1002,369,purchase,2023-07-15
15,1008,945,payment,2023-07-02
16,1006,1229,refund,2023-09-19
17,1010,817,purchase,2023-08-24
18,1003,1294,transfer,2023-03-06
19,1013,1679,payment,2023-08-15
20,1002,682,transfer,2023-05-23
21,1016,1133,withdrawal,2023-03-16
22,1011,878,purchase,2023-12-09
23,1020,1695,refund,2023-11-02
24,1001,906,payment,2023-05-27
25,1012,1751,transfer,2023-05-27
26,1004,1081,payment,2023-03-31
27,1006,1228,withdrawal,2023-09-24
28,1014,211,payment,2023-06-04
29,1009,776,payment,2023-04-02
30,1002,386,withdrawal,2023-01-22
31,1006,938,purchase,2023-08-04
32,1006,1544,payment,2023-07-13
33,1002,1133,refund,2023-03-13
34,1002,1555,purchase,2023-08-17
35,1005,810,withdrawal,2023-01-27
36,1017,347,purchase,2023-01-09
37,1007,697,payment,2023-06-19
38,1007,1458,refund,2023-10-31
39,1006,202,transfer,2023-04-11
40,1001,603,withdrawal,2023-02-13
41,1015,1554,purchase,2023-12-03
42,1010,1426,withdrawal,2023-03-02
43,1019,1477,transfer,2023-09-19
44,1014,1013,payment,2023-05-11
45,1009,1558,refund,2023-11-25
46,1014,1089,withdrawal,2023-09-11
47,1008,695,purchase,2023-11-05
48,1015,1031,payment,2023-02-05
49,1007,298,transfer,2023-10-14
50,1011,880,payment,2023-07-14
51,1003,1040,payment,2023-04-21
52,1006,1738,purchase,2023-10-10
53,1007,1000,purchase,2023-06-14
54,1001,1443,transfer,2023-06-16
55,1007,702,payment,2023-03-06
56,1018,560,payment,2023-05-26
57,1014,525,transfer,2023-11-10
58,1015,757,transfer,2023-08-12
59,1013,1458,payment,2023-10-10
60,1005,1879,refund,2023-09-04
61,1012,697,purchase,2023-12-16
62,1019,1909,refund,2023-02-15
63,1014,904,purchase,2023-04-03
64,1012,1214,withdrawal,2023-07-16
65,1001,1834,payment,2023-05-26
66,1013,291,purchase,2023-12-20
67,1019,1820,refund,2023-06-25
68,1006,1783,purchase,2023-08-21
69,1012,969,payment,2023-09-21
70,1012,1854,purchase,2023-02-06
71,1019,188,purchase,2023-10-03
72,1006,785,refund,2023-11-09
73,1018,1148,withdrawal,2023-01-24
74,1008,674,purchase,2023-11-09
75,1002,1948,payment,2023-10-04
76,1020,1982,transfer,2023-11-05
77,1019,941,transfer,2023-01-29
78,1003,614,withdrawal,2023-02-21
79,1006,505,payment,2023-03-07
80,1002,387,withdrawal,2023-10-05
81,1003,1305,payment,2023-02-28
82,1015,1824,transfer,2023-07-15
83,1005,540,withdrawal,2023-05-29
84,1020,1601,withdrawal,2023-10-05
85,1019,1974,payment,2023-12-13
86,1019,1975,payment,2023-07-13
87,1018,264,refund,2023-11-01
88,1016,921,purchase,2023-04-11
89,1011,329,purchase,2023-03-02
90,1001,108,withdrawal,2023-09-15
91,1010,566,transfer,2023-07-15
92,1007,165,payment,2023-12-02
93,1016,291,withdrawal,2023-07-27
94,1018,382,purchase,2023-06-07
95,1007,294,withdrawal,2023-03-30
96,1020,1687,purchase,2023-08-06
97,1009,430,withdrawal,2023-11-15
98,1012,598,purchase,2023-06-02
99,1001,1553,refund,2023-05-23
100,1001,751,withdrawal,2023-12-25
101,1013,1806,transfer,2023-08-30
102,1004,1417,purchase,2023-06-19
103,1013,1373,withdrawal,2023-03-15
104,1005,1151,transfer,2023-04-17
105,1008,1501,payment,2023-02-16
106,1007,714,transfer,2023-03-08
107,1019,1010,withdrawal,2023-05-15
108,1003,1478,refund,2023-04-04
109,1004,268,refund,2023-04-16
110,1003,821,transfer,2023-07-22
111,1001,1194,payment,2023-05-31
112,1002,1501,transfer,2023-07-08
113,1019,624,refund,2023-04-30
114,1020,279,withdrawal,2023-08-28
115,1020,1922,transfer,2023-09-20
116,1016,1204,transfer,2023-05-04
117,1012,1201,transfer,2023-06-10
118,1018,1682,withdrawal,2023-06-29
119,1001,982,purchase,2023-10-26
120,1003,1912,purchase,2023-03-28
121,1009,1675,payment,2023-11-20
122,1015,1228,withdrawal,2023-09-07
123,1019,1065,payment,2023-07-03
124,1002,221,withdrawal,2023-07-12
125,1017,1362,purchase,2023-08-18
126,1014,1187,refund,2023-12-25
127,1019,1664,withdrawal,2023-03-21
128,1008,633,transfer,2023-07-22
129,1010,155,transfer,2023-06-18
130,1014,512,withdrawal,2023-11-19
131,1005,1116,transfer,2023-07-06
132,1014,1790,payment,2023-12-28
133,1007,1427,refund,2023-06-11
134,1002,262,withdrawal,2023-04-25
135,1014,846,purchase,2023-12-25
136,1005,1700,refund,2023-12-13
137,1006,1696,payment,2023-08-27
138,1019,468,payment,2023-10-05
139,1011,1582,refund,2023-03-06
140,1017,880,refund,2023-08-16
141,1003,1084,withdrawal,2023-12-18
142,1013,1277,purchase,2023-07-21
143,1011,1821,transfer,2023-10-27
144,1011,1450,transfer,2023-06-24
145,1011,653,payment,2023-05-24
146,1015,291,withdrawal,2023-05-06
147,1017,756,refund,2023-10-17
148,1004,1922,purchase,2023-11-23
149,1019,910,refund,2023-04-23
150,1013,1737,refund,2023-02-26
151,1005,1181,withdrawal,2023-09-06
152,1003,1289,transfer,2023-04-06
153,1018,427,purchase,2023-06-29
154,1014,219,withdrawal,2023-05-11
