client_id,amount,transaction_type,country,latitude,longitude,timestamp
C00049,823.8,transfer,ES,-88.85794,-67.323199,2025-06-02 02:18:04
C00183,4814.12,purchase,FR,-1.112476,170.503861,2025-06-16 12:45:04
C00097,3338.83,deposit,IT,-55.722362,-76.764936,2025-06-16 06:25:04
C00028,3956.08,transfer,JP,18.477242,145.283698,2025-06-04 13:53:04
C00041,1130.4,transfer,ES,-19.063458,39.317616,2025-06-10 02:16:04
C00106,35.09,deposit,FR,31.953386,75.57875,2025-06-12 22:41:04
C00173,3101.33,deposit,US,-16.411491,145.695541,2025-05-29 00:18:04
C00100,2149.07,payment,CN,67.785883,7.812871,2025-06-02 20:18:04
C00041,3711.49,payment,DE,-79.493082,-84.206718,2025-05-18 08:16:04
C00095,546.89,transfer,JP,-51.616558,-81.553046,2025-05-31 08:31:04
C00190,4132.24,payment,CN,-81.141565,45.787731,2025-06-13 13:06:04
C00063,1696.93,deposit,DE,49.584629,166.961189,2025-06-06 18:01:04
C00001,4360.24,payment,US,27.943533,-160.545759,2025-06-11 20:28:04
C00119,4056.0,payment,ES,36.92917,-7.195011,2025-06-16 10:00:04
C00063,98.97,deposit,ES,57.337831,-140.761012,2025-05-24 20:09:04
C00153,1776.42,deposit,IT,-88.490863,173.421566,2025-05-28 07:31:04
C00153,3535.65,transfer,IT,-21.182312,-2.321791,2025-05-18 17:33:04
C00115,2489.67,payment,ES,-6.221874,-26.136514,2025-05-23 00:26:04
C00004,1022.08,deposit,IT,3.104552,0.827417,2025-05-24 14:15:04
C00078,2220.2,payment,CN,-24.208881,126.440658,2025-06-15 15:19:04
C00050,709.87,payment,UK,-44.168413,-41.543099,2025-06-14 21:02:04
C00080,3305.76,purchase,DE,12.420023,51.818843,2025-06-06 01:20:04
C00063,2796.65,purchase,DE,19.432496,-110.756238,2025-05-28 21:58:04
C00105,3025.04,deposit,UK,-76.810942,16.455003,2025-06-08 22:16:04
C00154,2152.54,transfer,DE,28.794532,141.37954,2025-05-24 20:35:04
C00183,4992.27,withdrawal,FR,-80.76608,31.548036,2025-06-15 15:31:04
C00154,717.02,withdrawal,IT,6.852516,18.793035,2025-05-25 17:43:04
C00013,1866.3,withdrawal,IT,-57.49417,-142.317518,2025-05-28 01:08:04
C00161,87.72,payment,ES,-24.422257,-66.980378,2025-05-26 13:12:04
C00010,4926.67,payment,IT,45.834851,-101.410834,2025-06-14 01:58:04
C00143,515.27,deposit,UK,2.951696,-153.621721,2025-06-01 23:53:04
C00151,2037.82,payment,JP,44.79453,149.867297,2025-06-04 23:18:04
C00078,3552.79,purchase,FR,-67.733822,174.633958,2025-05-27 20:40:04
C00133,335.38,transfer,FR,-19.490887,-14.906072,2025-05-29 09:22:04
C00147,1355.81,deposit,DE,64.262662,164.419289,2025-05-26 18:31:04
C00076,2581.41,transfer,ES,54.994503,155.140252,2025-06-12 02:50:04
C00166,1167.25,withdrawal,ES,-86.345385,-50.901725,2025-06-05 11:59:04
C00142,145.09,deposit,ES,-28.175808,-99.013393,2025-06-01 13:59:04
C00067,4141.59,deposit,FR,37.355252,-55.618466,2025-06-14 13:23:04
C00199,1145.95,payment,FR,36.197001,-106.314493,2025-05-30 07:19:04
C00003,3655.13,transfer,US,-10.569881,176.452561,2025-06-05 00:47:04
C00113,1112.32,purchase,IT,71.419483,-139.865168,2025-06-02 12:47:04
C00090,775.42,deposit,ES,-14.385442,-155.658523,2025-06-14 09:47:04
C00121,896.96,payment,ES,6.444871,-44.219683,2025-05-31 11:12:04
C00116,4071.66,transfer,UK,52.907657,-40.043246,2025-05-29 03:49:04
C00098,3260.94,payment,JP,-2.78269,1.393242,2025-06-16 06:59:04
C00003,2420.47,withdrawal,UK,26.771533,-26.122459,2025-05-29 19:33:04
C00020,1395.51,transfer,ES,52.334284,-114.879494,2025-06-06 03:36:04
C00137,3237.74,deposit,CN,37.261557,111.995157,2025-05-27 06:54:04
C00012,2802.74,purchase,UK,-46.36254,175.180392,2025-06-03 18:13:04
C00197,4152.35,transfer,JP,-24.917385,61.68066,2025-05-31 11:33:04
C00036,2643.76,withdrawal,FR,-29.341069,-3.548912,2025-06-16 22:18:04
C00156,2017.52,purchase,IT,-40.536161,65.263579,2025-05-23 13:09:04
C00071,3356.98,withdrawal,ES,55.011366,59.166505,2025-06-08 09:31:04
C00058,4439.54,transfer,IT,59.264018,179.375066,2025-05-21 19:27:04
C00061,3889.91,withdrawal,US,-85.289005,44.238689,2025-06-09 13:20:04
C00143,4426.37,purchase,FR,-87.637856,-105.117271,2025-06-15 05:10:04
C00080,974.18,payment,DE,53.494855,127.34666,2025-06-11 03:27:04
C00143,1927.32,withdrawal,FR,-68.179211,-86.958603,2025-05-27 19:08:04
C00164,4847.76,purchase,IT,50.244654,-178.275815,2025-05-19 16:08:04
C00165,2148.01,deposit,DE,-25.58898,101.858743,2025-05-27 21:26:04
C00184,2259.68,deposit,IT,75.204344,-107.589972,2025-06-14 20:11:04
C00103,3975.16,deposit,UK,-16.165175,93.131848,2025-05-21 17:03:04
C00098,248.23,deposit,JP,67.927643,-167.981996,2025-06-09 15:20:04
C00040,3917.52,transfer,UK,88.799426,-130.526745,2025-06-10 15:42:04
C00086,201.3,purchase,UK,-2.616898,175.058831,2025-05-29 12:22:04
C00086,3062.73,purchase,CN,35.740872,89.766171,2025-05-22 20:34:04
C00042,1806.43,transfer,DE,-42.12045,11.829742,2025-06-01 09:22:04
C00152,3376.75,transfer,FR,-61.764847,-53.747495,2025-06-10 15:42:04
C00198,3334.22,payment,UK,-25.585739,-94.410845,2025-05-24 22:24:04
C00160,1695.48,withdrawal,CN,-3.05284,-136.153059,2025-05-25 05:19:04
C00158,3207.62,withdrawal,JP,71.930874,-6.095817,2025-05-27 20:05:04
C00115,4822.45,payment,DE,-48.732267,-164.840751,2025-05-25 22:37:04
C00073,4682.38,deposit,IT,6.964431,-149.970171,2025-06-09 23:20:04
C00102,4217.4,purchase,JP,-28.679359,153.807779,2025-05-30 05:53:04
C00115,2631.3,transfer,CN,30.116626,-35.25829,2025-05-18 11:14:04
C00075,2790.57,payment,IT,-57.121921,157.550874,2025-06-15 10:11:04
C00134,302.45,deposit,CN,87.302003,-63.26096,2025-05-19 23:18:04
C00023,571.69,purchase,UK,60.31276,54.94676,2025-05-29 07:07:04
C00083,4766.86,payment,DE,-20.784933,-143.025393,2025-05-23 10:43:04
C00056,2582.07,deposit,JP,-0.115053,-174.605828,2025-06-03 12:45:04
C00044,4349.15,deposit,FR,-30.739575,67.733035,2025-06-13 13:26:04
C00059,1464.6,payment,ES,6.235039,122.700347,2025-06-01 12:29:04
C00171,132.7,withdrawal,FR,-13.154057,60.805104,2025-05-24 22:14:04
C00130,1036.01,deposit,FR,25.090212,-159.264589,2025-06-03 16:34:04
C00038,1023.44,payment,CN,3.229214,-48.771833,2025-05-28 02:59:04
C00148,2120.03,payment,IT,87.403587,-120.550081,2025-06-09 01:25:04
C00052,4253.12,purchase,ES,77.345714,-43.788044,2025-06-05 23:39:04
C00039,4831.06,payment,CN,82.484728,34.298681,2025-05-18 11:36:04
C00041,131.3,transfer,FR,5.737727,-44.738378,2025-05-25 02:37:04
C00067,397.16,deposit,US,72.347242,-76.03353,2025-05-28 04:31:04
