product_id,category,client_id,amount,date
P051,Clothing,C0262,351.24,2023-07-11
P076,Electronics,C0829,69.0,2023-05-17
P070,Electronics,C0753,157.17,2023-04-17
P028,Clothing,C0940,187.9,2023-10-10
P070,Clothing,C1000,21.11,2023-10-14
P074,Toys,C0319,103.08,2023-02-18
P083,Home,C0508,332.6,2023-10-24
P010,Books,C0551,70.24,2023-11-07
P086,Home,C0860,185.0,2023-11-01
P044,Electronics,C0821,375.05,2023-03-27
P097,Toys,C0886,327.23,2023-03-31
P048,Books,C0146,441.68,2023-12-13
P046,Electronics,C0152,220.99,2023-04-01
P001,Home,C0607,473.03,2023-03-14
P069,Books,C0085,246.62,2023-05-01
P067,Clothing,C0114,173.38,2023-07-14
P069,Clothing,C0876,266.35,2023-05-04
P081,Clothing,C0628,311.05,2023-07-09
P079,Electronics,C0685,292.21,2023-12-27
P028,Home,C0474,479.06,2023-12-31
P048,Home,C0928,72.1,2023-04-28
P003,Clothing,C0777,105.8,2023-08-16
P046,Clothing,C0589,301.65,2023-08-08
P044,Books,C0175,235.04,2023-08-02
P008,Clothing,C0665,356.45,2023-10-31
P089,Books,C0294,30.26,2023-06-18
P007,Books,C0131,317.27,2023-12-16
P061,Electronics,C0448,209.4,2023-06-21
P022,Clothing,C0735,182.73,2023-09-17
P016,Clothing,C0542,147.17,2023-12-31
P007,Toys,C0239,76.82,2023-06-21
P089,Clothing,C0147,220.57,2023-05-05
P036,Books,C0024,303.98,2023-12-10
P055,Toys,C0380,121.2,2023-08-31
P072,Clothing,C0517,472.72,2023-01-28
P014,Home,C0276,417.67,2023-11-22
P058,Clothing,C0887,43.51,2023-05-20
P075,Clothing,C0255,206.77,2023-11-22
P079,Toys,C0225,120.94,2023-03-16
P017,Books,C0863,21.63,2023-09-25
P069,Home,C0731,88.46,2023-01-05
P098,Toys,C0350,327.22,2023-11-24
P080,Home,C0664,217.9,2023-04-25
P014,Home,C0995,73.55,2023-05-07
P034,Home,C0140,242.78,2023-01-09
P046,Home,C0437,63.94,2023-12-28
P080,Clothing,C0067,339.98,2023-11-02
P085,Clothing,C0883,262.38,2023-10-14
P064,Clothing,C0526,61.51,2023-04-13
P087,Clothing,C0013,304.57,2023-01-18
P044,Electronics,C0709,453.57,2023-11-15
P078,Clothing,C0860,105.3,2023-10-16
P089,Electronics,C0867,78.94,2023-10-03
P039,Books,C0766,129.23,2023-02-01
P011,Books,C0185,404.5,2023-01-17
P077,Electronics,C0423,23.27,2023-06-10
P014,Electronics,C0079,370.55,2023-04-05
P004,Clothing,C0642,326.51,2023-07-06
P015,Toys,C0652,365.78,2023-09-16
P058,Books,C0344,67.08,2023-07-09
P024,Clothing,C0090,291.88,2023-12-23
P051,Toys,C0557,209.88,2023-11-25
P088,Home,C0389,250.67,2023-01-17
P055,Toys,C0531,104.27,2023-05-28
P038,Clothing,C0666,450.59,2023-08-18
P010,Books,C0034,96.79,2023-07-16
P058,Electronics,C0190,280.19,2023-05-02
P045,Home,C0333,308.95,2023-03-17
P098,Toys,C0880,338.42,2023-10-02
P050,Books,C0705,183.95,2023-11-15
P028,Clothing,C0052,461.83,2023-12-09
P072,Toys,C0198,294.6,2023-05-28
P053,Clothing,C0351,148.53,2023-01-06
P019,Toys,C0790,338.0,2023-07-02
P066,Toys,C0408,131.5,2023-09-06
P007,Home,C0577,444.22,2023-02-02
P076,Books,C0835,110.62,2023-11-03
P025,Home,C0342,195.64,2023-02-17
P056,Books,C0777,452.6,2023-07-20
P041,Home,C0415,98.16,2023-05-06
P038,Clothing,C0440,424.64,2023-07-10
P066,Electronics,C0674,53.62,2023-04-09
P004,Electronics,C0695,375.46,2023-03-27
P013,Clothing,C0713,179.98,2023-03-02
P010,Clothing,C0431,278.93,2023-10-08
P091,Clothing,C0468,190.43,2023-02-03
P075,Books,C0998,42.71,2023-07-03
P025,Books,C0987,246.04,2023-10-13
P054,Clothing,C0863,378.52,2023-07-01
P062,Books,C0627,391.95,2023-05-26
P028,Books,C0492,172.46,2023-07-10
P020,Clothing,C0089,153.82,2023-10-29
P064,Electronics,C0260,396.41,2023-01-23
P011,Toys,C0196,408.07,2023-08-22
P002,Home,C0259,263.51,2023-09-03
P029,Books,C0405,372.56,2023-04-11
P100,Books,C0320,362.25,2023-03-03
P044,Electronics,C0359,347.62,2023-08-22
P015,Home,C0745,376.78,2023-06-06
P089,Toys,C0270,368.5,2023-03-29
P044,Home,C0053,145.97,2023-10-05
P047,Toys,C0888,252.27,2023-11-19
P051,Home,C0972,159.86,2023-01-02
P066,Home,C0917,400.82,2023-04-18
P075,Books,C0194,208.54,2023-06-25
P032,Home,C0203,130.62,2023-11-20
P022,Clothing,C0937,230.96,2023-09-01
P009,Books,C0742,103.16,2023-07-05
P074,Books,C0659,339.76,2023-06-26
P026,Toys,C0969,41.78,2023-09-25
P006,Home,C0995,270.52,2023-09-06
P015,Home,C0898,183.7,2023-10-01
P071,Books,C0879,266.08,2023-02-16
P025,Clothing,C0368,139.55,2023-01-07
P052,Electronics,C0052,179.49,2023-09-11
P096,Electronics,C0261,476.09,2023-06-30
P058,Toys,C0676,224.67,2023-06-04
P009,Electronics,C0065,167.98,2023-08-09
P026,Electronics,C0352,461.02,2023-08-17
P040,Clothing,C0916,326.65,2023-12-09
P095,Electronics,C0003,434.62,2023-05-19
P027,Home,C0775,407.57,2023-05-19
P011,Toys,C0097,138.88,2023-02-01
P041,Toys,C0304,22.47,2023-10-22
P027,Clothing,C0718,135.7,2023-06-30
P022,Electronics,C0720,380.88,2023-02-08
P099,Electronics,C0429,18.1,2023-10-24
P076,Electronics,C0222,301.15,2023-11-11
P042,Home,C0283,402.21,2023-11-25
P091,Clothing,C0114,303.75,2023-06-02
P074,Clothing,C0284,405.29,2023-07-14
P047,Toys,C0134,51.53,2023-01-07
P045,Clothing,C0451,94.88,2023-08-24
P084,Toys,C0236,210.65,2023-01-30
P095,Books,C0619,339.95,2023-08-08
P067,Home,C0212,369.52,2023-05-02
P011,Electronics,C0971,310.31,2023-12-01
P059,Clothing,C0828,35.21,2023-11-20
P014,Electronics,C0183,257.34,2023-10-30
P050,Home,C0621,111.46,2023-04-14
P077,Home,C0694,376.81,2023-04-27
P077,Home,C0463,499.86,2023-03-30
P047,Toys,C0129,296.11,2023-09-17
P040,Books,C0721,404.84,2023-12-24
P056,Electronics,C0093,113.6,2023-01-26
P039,Clothing,C0285,282.53,2023-11-27
P100,Home,C0719,273.13,2023-10-22
P056,Home,C0602,299.31,2023-06-15
P046,Toys,C0365,347.18,2023-07-25
P077,Electronics,C0818,363.81,2023-11-24
P038,Clothing,C0925,20.78,2023-05-09
P029,Clothing,C0339,327.82,2023-03-13
P026,Clothing,C0942,264.56,2023-08-08
P025,Electronics,C0409,64.43,2023-12-08
P067,Books,C0857,97.15,2023-02-01
P068,Clothing,C0977,215.5,2023-09-27
P074,Clothing,C0140,218.13,2023-09-23
P040,Clothing,C0143,356.03,2023-10-16
P023,Electronics,C0980,457.82,2023-03-27
P024,Clothing,C0981,261.1,2023-05-15
P077,Electronics,C0776,142.55,2023-01-23
P035,Books,C0368,353.52,2023-08-17
P091,Clothing,C0682,307.28,2023-01-12
P061,Electronics,C0928,475.82,2023-10-10
P018,Home,C0469,356.41,2023-12-22
P005,Electronics,C0453,299.58,2023-05-26
P090,Home,C0141,223.52,2023-05-13
P079,Toys,C0234,319.03,2023-03-29
P064,Electronics,C0756,36.83,2023-01-21
P100,Toys,C0829,357.55,2023-07-26
P062,Toys,C0705,324.49,2023-11-25
P081,Books,C0078,443.47,2023-08-12
P029,Clothing,C0093,270.37,2023-06-16
P025,Toys,C0982,236.1,2023-08-03
P039,Home,C0176,385.41,2023-01-27
P071,Toys,C0977,158.48,2023-08-22
P024,Electronics,C0932,178.25,2023-12-21
P005,Books,C0197,494.24,2023-04-15
P014,Books,C0344,479.06,2023-05-15
P025,Home,C0277,81.52,2023-10-24
P076,Clothing,C0776,452.15,2023-07-04
P076,Toys,C0208,263.27,2023-03-27
P054,Toys,C0160,334.74,2023-01-04
P058,Electronics,C0735,152.85,2023-12-12
P009,Toys,C0548,151.6,2023-12-14
P066,Clothing,C0436,11.92,2023-12-27
P089,Clothing,C0089,192.21,2023-03-13
P003,Books,C0311,163.32,2023-01-05
P064,Clothing,C0218,148.84,2023-05-01
P066,Home,C0170,434.67,2023-01-22
P026,Books,C0250,360.02,2023-07-04
P053,Books,C0342,430.78,2023-02-10
P004,Clothing,C0535,462.9,2023-09-29
P084,Electronics,C0522,226.94,2023-09-14
P063,Books,C0569,207.15,2023-12-05
P030,Clothing,C0190,435.64,2023-05-26
P049,Toys,C0775,299.62,2023-01-27
P030,Toys,C0470,144.57,2023-07-05
P087,Toys,C0594,426.91,2023-08-16
P006,Home,C0068,52.0,2023-04-28
P045,Toys,C0768,355.28,2023-08-26
P078,Electronics,C0051,336.13,2023-05-19
P086,Electronics,C0712,251.22,2023-03-14
P028,Clothing,C0029,214.96,2023-12-27
P093,Electronics,C0490,465.61,2023-02-09
P029,Books,C0389,42.11,2023-05-11
P071,Electronics,C0232,353.04,2023-04-21
P081,Books,C0636,236.13,2023-05-04
P065,Electronics,C0609,211.89,2023-02-27
P009,Clothing,C0998,49.86,2023-02-17
P024,Electronics,C0380,199.52,2023-06-11
P050,Toys,C0665,496.76,2023-11-18
P072,Clothing,C0233,160.76,2023-05-31
P028,Electronics,C0558,112.05,2023-05-07
P048,Books,C0934,25.02,2023-10-30
P021,Clothing,C0426,121.0,2023-06-20
P076,Home,C0138,155.2,2023-02-03
P077,Home,C0398,303.57,2023-03-08
P052,Clothing,C0656,354.52,2023-11-13
P010,Books,C0761,451.75,2023-09-26
P064,Home,C0087,447.28,2023-03-20
P008,Toys,C0126,466.44,2023-06-24
P092,Home,C0057,298.22,2023-01-29
