client_id,client_name,region
C00001,Client_1,West
C00002,Client_2,North
C00003,Client_3,South
C00004,Client_4,South
C00005,Client_5,South
C00006,Client_6,West
C00007,Client_7,North
C00008,Client_8,West
C00009,Client_9,West
C00010,Client_10,East
C00011,Client_11,West
C00012,Client_12,South
C00013,Client_13,West
C00014,Client_14,West
C00015,Client_15,South
C00016,Client_16,North
C00017,Client_17,South
C00018,Client_18,North
C00019,Client_19,South
C00020,Client_20,North
C00021,Client_21,South
C00022,Client_22,East
C00023,Client_23,North
C00024,Client_24,East
C00025,Client_25,South
C00026,Client_26,North
C00027,Client_27,West
C00028,Client_28,South
C00029,Client_29,West
C00030,Client_30,East
C00031,Client_31,South
C00032,Client_32,East
C00033,Client_33,South
C00034,Client_34,West
C00035,Client_35,East
C00036,Client_36,North
C00037,Client_37,North
C00038,Client_38,North
C00039,Client_39,West
C00040,Client_40,North
C00041,Client_41,West
C00042,Client_42,West
C00043,Client_43,North
C00044,Client_44,North
C00045,Client_45,West
C00046,Client_46,North
C00047,Client_47,West
C00048,Client_48,East
C00049,Client_49,East
C00050,Client_50,East
C00051,Client_51,West
C00052,Client_52,North
C00053,Client_53,East
C00054,Client_54,North
C00055,Client_55,West
C00056,Client_56,West
C00057,Client_57,North
C00058,Client_58,South
C00059,Client_59,East
C00060,Client_60,North
C00061,Client_61,South
C00062,Client_62,West
C00063,Client_63,West
C00064,Client_64,North
C00065,Client_65,North
C00066,Client_66,South
C00067,Client_67,West
C00068,Client_68,North
C00069,Client_69,East
C00070,Client_70,East
C00071,Client_71,West
C00072,Client_72,West
C00073,Client_73,West
C00074,Client_74,East
C00075,Client_75,South
C00076,Client_76,West
C00077,Client_77,North
C00078,Client_78,East
C00079,Client_79,South
C00080,Client_80,South
C00081,Client_81,North
C00082,Client_82,East
C00083,Client_83,West
C00084,Client_84,North
C00085,Client_85,North
C00086,Client_86,West
C00087,Client_87,South
C00088,Client_88,South
C00089,Client_89,West
C00090,Client_90,North
C00091,Client_91,West
C00092,Client_92,West
C00093,Client_93,North
C00094,Client_94,North
C00095,Client_95,South
C00096,Client_96,South
C00097,Client_97,West
C00098,Client_98,East
C00099,Client_99,East
C00100,Client_100,West
C00101,Client_101,South
C00102,Client_102,South
C00103,Client_103,North
C00104,Client_104,East
C00105,Client_105,South
C00106,Client_106,South
C00107,Client_107,West
C00108,Client_108,South
C00109,Client_109,East
C00110,Client_110,East
C00111,Client_111,West
C00112,Client_112,North
C00113,Client_113,East
C00114,Client_114,South
C00115,Client_115,East
C00116,Client_116,North
C00117,Client_117,West
C00118,Client_118,South
C00119,Client_119,North
C00120,Client_120,South
C00121,Client_121,North
C00122,Client_122,South
C00123,Client_123,West
C00124,Client_124,North
C00125,Client_125,East
C00126,Client_126,West
C00127,Client_127,West
C00128,Client_128,North
C00129,Client_129,North
C00130,Client_130,South
C00131,Client_131,East
C00132,Client_132,North
C00133,Client_133,East
C00134,Client_134,North
C00135,Client_135,West
C00136,Client_136,West
C00137,Client_137,South
C00138,Client_138,North
C00139,Client_139,West
C00140,Client_140,North
C00141,Client_141,East
C00142,Client_142,North
C00143,Client_143,East
C00144,Client_144,North
C00145,Client_145,South
C00146,Client_146,West
C00147,Client_147,North
C00148,Client_148,East
C00149,Client_149,West
C00150,Client_150,East
C00151,Client_151,North
C00152,Client_152,South
C00153,Client_153,South
C00154,Client_154,East
C00155,Client_155,West
C00156,Client_156,South
C00157,Client_157,South
C00158,Client_158,West
C00159,Client_159,West
C00160,Client_160,East
C00161,Client_161,West
C00162,Client_162,North
C00163,Client_163,West
C00164,Client_164,West
C00165,Client_165,North
C00166,Client_166,North
C00167,Client_167,South
C00168,Client_168,East
C00169,Client_169,North
C00170,Client_170,West
C00171,Client_171,North
C00172,Client_172,West
C00173,Client_173,West
C00174,Client_174,North
C00175,Client_175,South
C00176,Client_176,East
C00177,Client_177,East
C00178,Client_178,North
C00179,Client_179,South
C00180,Client_180,North
C00181,Client_181,South
C00182,Client_182,South
C00183,Client_183,West
C00184,Client_184,West
C00185,Client_185,South
C00186,Client_186,South
C00187,Client_187,North
C00188,Client_188,East
C00189,Client_189,South
C00190,Client_190,West
C00191,Client_191,South
C00192,Client_192,East
C00193,Client_193,North
C00194,Client_194,West
C00195,Client_195,South
C00196,Client_196,North
C00197,Client_197,East
